x,y,z,Fz
0,5,61,5.89579197e+01
0,5,62,nan
0,5,63,nan
0,5,64,nan
0,5,65,5.88145717e+01
0,5,66,6.04852995e+01
0,5,67,5.88504029e+01
0,5,68,nan
0,5,69,nan
0,5,70,nan
0,5,71,nan
0,5,72,5.74719195e+01
0,5,73,6.05355182e+01
0,5,74,5.56483502e+01
0,5,75,6.33805118e+01
0,5,76,6.07033425e+01
0,5,77,nan
0,5,78,nan
0,5,79,nan
0,5,80,nan
0,5,81,nan
0,5,82,6.17625699e+01
0,5,83,6.05679481e+01
0,5,84,5.62864859e+01
0,5,85,nan
0,5,86,nan
0,5,87,nan
0,5,88,6.05560066e+01
0,5,89,nan
0,5,90,nan
0,5,91,6.12448820e+01
0,5,92,5.78710443e+01
0,5,93,nan
0,5,94,5.56991241e+01
0,5,95,nan
0,5,96,nan
0,5,97,5.92497402e+01
0,5,98,nan
0,5,99,nan
0,6,0,5.94034652e+01
0,6,1,6.04368909e+01
0,6,2,nan
0,6,3,nan
0,6,4,nan
0,6,5,nan
0,6,6,nan
0,6,7,5.77387343e+01
0,6,8,nan
0,6,9,nan
0,6,10,6.27656417e+01
0,6,11,5.92471923e+01
0,6,12,nan
0,6,13,6.07069560e+01
0,6,14,5.61499564e+01
0,6,15,nan
0,6,16,nan
0,6,17,nan
0,6,18,5.76236297e+01
0,6,19,6.00268195e+01
0,6,20,nan
0,6,21,nan
0,6,22,nan
0,6,23,5.98531770e+01
0,6,24,5.99215806e+01
0,6,25,nan
0,6,26,nan
0,6,27,5.86434094e+01
0,6,28,5.76070016e+01
0,6,29,nan
0,6,30,nan
0,6,31,nan
0,6,32,5.92326505e+01
0,6,33,6.05727649e+01
0,6,34,5.45709575e+01
0,6,35,6.34799154e+01
0,6,36,nan
0,6,37,nan
0,6,38,5.81243476e+01
0,6,39,5.78771493e+01
0,6,40,nan
0,6,41,nan
0,6,42,nan
0,6,43,6.42628848e+01
0,6,44,5.96663183e+01
0,6,45,nan
0,6,46,5.72404615e+01
0,6,47,nan
0,6,48,6.05836769e+01
0,6,49,nan
0,6,50,5.94681409e+01
0,6,51,nan
0,6,52,nan
0,6,53,nan
0,6,54,nan
0,6,55,5.71632179e+01
0,6,56,5.97788921e+01
0,6,57,nan
0,6,58,nan
0,6,59,5.77152441e+01
0,6,60,nan
0,6,61,5.95691559e+01
0,6,62,6.14787283e+01
0,6,63,nan
0,6,64,nan
0,6,65,5.64970016e+01
0,6,66,6.24032810e+01
0,6,67,5.63278970e+01
0,6,68,6.02814360e+01
0,6,69,nan
0,6,70,nan
0,6,71,5.93559476e+01
0,6,72,nan
0,6,73,nan
0,6,74,6.10986099e+01
0,6,75,6.00411904e+01
0,6,76,6.05772001e+01
0,6,77,nan
0,6,78,nan
0,6,79,5.89997228e+01
0,6,80,nan
0,6,81,6.00589222e+01
0,6,82,5.72388745e+01
0,6,83,5.92667909e+01
0,6,84,nan
0,6,85,nan
0,6,86,nan
0,6,87,5.96819637e+01
0,6,88,nan
0,6,89,nan
0,6,90,nan
0,6,91,5.91442845e+01
0,6,92,5.72756439e+01
0,6,93,nan
0,6,94,5.88459662e+01
0,6,95,nan
0,6,96,5.69217242e+01
0,6,97,5.63088727e+01
0,6,98,nan
0,6,99,nan
0,7,0,5.87620344e+01
0,7,1,5.56844744e+01
0,7,2,nan
0,7,3,nan
0,7,4,6.01648255e+01
0,7,5,nan
0,7,6,nan
0,7,7,5.88582076e+01
0,7,8,nan
0,7,9,nan
0,7,10,nan
0,7,11,5.74838940e+01
0,7,12,6.04438447e+01
0,7,13,5.99720782e+01
0,7,14,5.99414496e+01
0,7,15,nan
0,7,16,nan
0,7,17,nan
0,7,18,5.98183467e+01
0,7,19,nan
0,7,20,nan
0,7,21,5.92808853e+01
0,7,22,5.90227163e+01
0,7,23,6.05133555e+01
0,7,24,5.90130456e+01
0,7,25,5.90717982e+01
0,7,26,6.00929262e+01
0,7,27,5.55417743e+01
0,7,28,nan
0,7,29,nan
0,7,30,nan
0,7,31,nan
0,7,32,5.97173520e+01
0,7,33,5.96734814e+01
0,7,34,nan
0,7,35,nan
0,7,36,nan
0,7,37,nan
0,7,38,5.79535560e+01
0,7,39,nan
0,7,40,nan
0,7,41,nan
0,7,42,5.67177531e+01
0,7,43,5.96747442e+01
0,7,44,5.78747924e+01
0,7,45,nan
0,7,46,nan
0,7,47,nan
0,7,48,5.73353207e+01
0,7,49,5.77941071e+01
0,7,50,nan
0,7,51,nan
0,7,52,5.67156355e+01
0,7,53,nan
0,7,54,6.26080429e+01
0,7,55,6.07187370e+01
0,7,56,nan
0,7,57,6.03285418e+01
0,7,58,nan
0,7,59,nan
0,7,60,6.05265261e+01
0,7,61,5.84262422e+01
0,7,62,6.10465760e+01
0,7,63,nan
0,7,64,nan
0,7,65,nan
0,7,66,6.03340689e+01
0,7,67,6.02934323e+01
0,7,68,6.11235651e+01
0,7,69,5.78193474e+01
0,7,70,nan
0,7,71,nan
0,7,72,nan
0,7,73,nan
0,7,74,5.91184594e+01
0,7,75,6.07508213e+01
0,7,76,nan
0,7,77,nan
0,7,78,6.38519681e+01
