x,y,z,vy
0,7,23,-3.94427857e+00
0,7,24,-3.94327689e+00
0,7,25,-3.94470663e+00
0,7,26,-3.94686312e+00
0,7,27,-3.94878834e+00
0,7,28,-3.95055949e+00
0,7,29,-3.95202873e+00
0,7,30,-3.95302255e+00
0,7,31,-3.95266769e+00
0,7,32,-3.94997241e+00
0,7,33,-3.94321023e+00
0,7,34,-3.93291458e+00
0,7,35,-3.92522482e+00
0,7,36,-3.92259604e+00
0,7,37,-3.92366669e+00
0,7,38,-3.92572296e+00
0,7,39,-3.92687552e+00
0,7,40,-3.92684689e+00
0,7,41,-3.92625817e+00
0,7,42,-3.92556785e+00
0,7,43,-3.92604143e+00
0,7,44,-3.92771566e+00
0,7,45,-3.93092176e+00
0,7,46,-3.93699697e+00
0,7,47,-3.94468134e+00
0,7,48,-3.95118100e+00
0,7,49,-3.95431858e+00
0,7,50,-3.95561230e+00
0,7,51,-3.95610236e+00
0,7,52,-3.95485634e+00
0,7,53,-3.95175802e+00
0,7,54,-3.94567623e+00
0,7,55,-3.93742858e+00
0,7,56,-3.92933171e+00
0,7,57,-3.92243729e+00
0,7,58,-3.91738136e+00
0,7,59,-3.91377586e+00
0,7,60,-3.91310578e+00
0,7,61,-3.91631426e+00
0,7,62,-3.92573641e+00
0,7,63,-3.94303856e+00
0,7,64,-3.96356099e+00
0,7,65,-3.98146917e+00
0,7,66,-3.99392752e+00
0,7,67,-4.00207806e+00
0,7,68,-4.00859127e+00
0,7,69,-4.01407115e+00
0,7,70,-4.01916476e+00
0,7,71,-4.02198967e+00
0,7,72,-4.02195982e+00
0,7,73,-4.01828305e+00
0,7,74,-4.01073514e+00
0,7,75,-4.00249979e+00
0,7,76,-3.99853464e+00
0,7,77,-3.99874887e+00
0,7,78,-4.00573962e+00
0,7,79,-4.02369430e+00
0,7,80,-4.04739289e+00
0,7,81,-4.07099706e+00
0,7,82,-4.09186716e+00
0,7,83,-4.10991539e+00
0,7,84,-4.12420530e+00
0,7,85,-4.13277714e+00
0,7,86,-4.13591882e+00
0,7,87,-4.13315897e+00
0,7,88,-4.12328865e+00
0,7,89,-4.10587041e+00
0,7,90,-4.08720187e+00
