x,y,z,Fy
0,7,84,nan
0,7,85,nan
0,7,86,6.30893631e+01
0,7,87,nan
0,7,88,5.43006880e+01
0,7,89,nan
0,7,90,5.81582643e+01
0,7,91,6.02334433e+01
0,7,92,5.90073536e+01
0,7,93,5.84180064e+01
0,7,94,5.90966523e+01
0,7,95,6.03528396e+01
0,7,96,5.73231524e+01
0,7,97,nan
0,7,98,6.32208587e+01
0,7,99,6.26009571e+01
0,8,0,6.06347055e+01
0,8,1,nan
0,8,2,nan
0,8,3,5.86828722e+01
0,8,4,5.75756037e+01
0,8,5,nan
0,8,6,5.52802172e+01
0,8,7,nan
0,8,8,nan
0,8,9,nan
0,8,10,6.23032701e+01
0,8,11,6.37439699e+01
0,8,12,6.38033679e+01
0,8,13,6.41313942e+01
0,8,14,nan
0,8,15,nan
0,8,16,6.20686511e+01
0,8,17,5.97852525e+01
0,8,18,5.71439269e+01
0,8,19,nan
0,8,20,5.98576188e+01
0,8,21,6.39969918e+01
0,8,22,6.45373439e+01
0,8,23,5.99705620e+01
0,8,24,5.78253185e+01
0,8,25,5.89581984e+01
0,8,26,6.10926412e+01
0,8,27,5.56651652e+01
0,8,28,5.69870091e+01
0,8,29,nan
0,8,30,6.21160148e+01
0,8,31,6.03479377e+01
0,8,32,6.22614977e+01
0,8,33,6.16791392e+01
0,8,34,nan
0,8,35,nan
0,8,36,nan
0,8,37,6.00079873e+01
0,8,38,6.05096182e+01
0,8,39,6.42363176e+01
0,8,40,5.85753117e+01
0,8,41,6.05252884e+01
0,8,42,5.75850946e+01
0,8,43,nan
0,8,44,6.33986792e+01
0,8,45,6.22025132e+01
0,8,46,6.51898250e+01
0,8,47,6.08103187e+01
0,8,48,6.14944086e+01
0,8,49,nan
0,8,50,nan
0,8,51,nan
0,8,52,nan
0,8,53,6.13373225e+01
0,8,54,5.54361036e+01
0,8,55,nan
0,8,56,5.99415736e+01
0,8,57,nan
0,8,58,5.74556461e+01
0,8,59,5.99771844e+01
0,8,60,6.13213079e+01
0,8,61,nan
0,8,62,nan
0,8,63,nan
0,8,64,nan
0,8,65,nan
0,8,66,nan
0,8,67,nan
0,8,68,nan
0,8,69,nan
0,8,70,nan
0,8,71,6.03379727e+01
0,8,72,5.78768021e+01
0,8,73,5.84082937e+01
0,8,74,5.84338922e+01
0,8,75,6.20154510e+01
0,8,76,nan
0,8,77,nan
0,8,78,6.40840847e+01
0,8,79,nan
0,8,80,5.75745373e+01
0,8,81,5.83398471e+01
0,8,82,6.14684492e+01
0,8,83,nan
0,8,84,nan
0,8,85,6.27857344e+01
0,8,86,6.48245194e+01
0,8,87,6.26996503e+01
0,8,88,nan
0,8,89,nan
0,8,90,6.03785556e+01
0,8,91,5.78745128e+01
0,8,92,6.11385269e+01
0,8,93,5.97390633e+01
0,8,94,6.12808090e+01
0,8,95,5.78409706e+01
0,8,96,6.02118505e+01
0,8,97,5.78266365e+01
0,8,98,5.85025960e+01
0,8,99,5.63255491e+01
0,9,0,6.12454686e+01
0,9,1,nan
0,9,2,5.60896360e+01
0,9,3,nan
0,9,4,5.96361823e+01
0,9,5,5.75769110e+01
0,9,6,nan
0,9,7,nan
0,9,8,nan
0,9,9,nan
0,9,10,5.70928771e+01
0,9,11,5.98643635e+01
0,9,12,6.08234657e+01
0,9,13,6.40001166e+01
0,9,14,nan
0,9,15,nan
0,9,16,nan
0,9,17,nan
0,9,18,nan
0,9,19,5.92600773e+01
0,9,20,6.08860272e+01
0,9,21,6.06447069e+01
0,9,22,5.60460472e+01
0,9,23,6.05683790e+01
0,9,24,nan
0,9,25,nan
0,9,26,nan
0,9,27,nan
0,9,28,nan
0,9,29,5.99234369e+01
0,9,30,5.75220957e+01
0,9,31,5.92407618e+01
0,9,32,5.85637600e+01
0,9,33,6.09100428e+01
0,9,34,5.91332767e+01
0,9,35,6.06421451e+01
0,9,36,5.95164811e+01
0,9,37,6.02790031e+01
0,9,38,6.41487333e+01
0,9,39,6.08577798e+01
0,9,40,6.12232314e+01
0,9,41,6.02635303e+01
0,9,42,5.98745748e+01
0,9,43,6.16296161e+01
0,9,44,6.27112013e+01
0,9,45,6.38399105e+01
0,9,46,nan
0,9,47,nan
0,9,48,nan
0,9,49,6.05597249e+01
0,9,50,nan
0,9,51,nan
0,9,52,5.89697521e+01
0,9,53,6.04084110e+01
0,9,54,6.19197804e+01
0,9,55,6.14750486e+01
0,9,56,5.99896800e+01
0,9,57,6.11680708e+01
0,9,58,6.01886077e+01
0,9,59,5.61381322e+01
0,9,60,5.77797665e+01
0,9,61,5.83309748e+01
0,9,62,nan
0,9,63,nan
0,9,64,nan
0,9,65,6.00367337e+01
0,9,66,6.05192491e+01
0,9,67,nan
0,9,68,6.03224657e+01
0,9,69,nan
0,9,70,nan
0,9,71,nan
0,9,72,nan
0,9,73,nan
0,9,74,6.02306356e+01
0,9,75,6.11129847e+01
0,9,76,6.21993057e+01
0,9,77,nan
0,9,78,nan
0,9,79,nan
0,9,80,nan
0,9,81,nan
0,9,82,nan
0,9,83,nan
0,9,84,nan
0,9,85,5.75760298e+01
0,9,86,nan
0,9,87,6.13935741e+01
0,9,88,nan
0,9,89,6.05479182e+01
0,9,90,5.98705276e+01
0,9,91,5.81911421e+01
0,9,92,nan
0,9,93,nan
0,9,94,5.88287006e+01
0,9,95,nan
0,9,96,nan
0,9,97,5.76736875e+01
0,9,98,nan
0,9,99,nan
0,10,0,nan
0,10,1,5.92267615e+01
0,10,2,nan
0,10,3,6.33244574e+01
0,10,4,nan
0,10,5,nan
0,10,6,nan
0,10,7,nan
0,10,8,nan
0,10,9,nan
0,10,10,nan
0,10,11,nan
0,10,12,nan
0,10,13,nan
0,10,14,5.87480272e+01
0,10,15,6.22248199e+01
0,10,16,nan
0,10,17,nan
0,10,18,6.30304074e+01
0,10,19,5.98316459e+01
0,10,20,5.88574793e+01
0,10,21,nan
0,10,22,nan
0,10,23,nan
0,10,24,nan
0,10,25,nan
0,10,26,nan
0,10,27,nan
0,10,28,6.22614605e+01
0,10,29,nan
0,10,30,nan
0,10,31,nan
0,10,32,6.18297478e+01
0,10,33,6.06333923e+01
0,10,34,5.79655022e+01
0,10,35,nan
0,10,36,nan
0,10,37,nan
0,10,38,5.78555765e+01
0,10,39,nan
0,10,40,nan
0,10,41,5.71807392e+01
0,10,42,6.11751509e+01
0,10,43,6.06721883e+01
0,10,44,5.53288776e+01
0,10,45,nan
0,10,46,nan
0,10,47,nan
0,10,48,nan
0,10,49,5.71442496e+01
0,10,50,6.05630471e+01
0,10,51,6.17558457e+01
0,10,52,5.71390321e+01
0,10,53,5.63745044e+01
0,10,54,5.80052338e+01
0,10,55,nan
0,10,56,nan
0,10,57,nan
0,10,58,nan
0,10,59,nan
0,10,60,nan
0,10,61,6.05247100e+01
0,10,62,5.97179735e+01
0,10,63,nan
0,10,64,nan
0,10,65,nan
0,10,66,nan
0,10,67,nan
0,10,68,5.98021496e+01
0,10,69,nan
0,10,70,nan
0,10,71,nan
0,10,72,nan
0,10,73,nan
0,10,74,nan
0,10,75,nan
0,10,76,nan
0,10,77,6.01663180e+01
0,10,78,nan
0,10,79,nan
