x,y,z,vz
0,6,89,nan
0,6,90,nan
0,6,91,nan
0,6,92,nan
0,6,93,nan
0,6,94,nan
0,6,95,nan
0,6,96,nan
0,6,97,nan
0,6,98,nan
0,6,99,nan
0,7,0,-5.10888108e+00
0,7,1,-4.45835510e+00
0,7,2,-4.23352782e+00
0,7,3,-4.11419884e+00
0,7,4,-4.04933286e+00
0,7,5,-4.02013875e+00
0,7,6,-4.01347887e+00
0,7,7,-4.01650308e+00
0,7,8,-4.02311329e+00
0,7,9,-4.02721497e+00
0,7,10,-4.02420383e+00
0,7,11,-4.01275185e+00
0,7,12,-3.99538415e+00
0,7,13,-3.98181725e+00
0,7,14,-3.97559607e+00
0,7,15,-3.97393186e+00
0,7,16,-3.97593244e+00
0,7,17,-3.98099900e+00
0,7,18,-3.98995657e+00
0,7,19,-4.00332883e+00
0,7,20,-4.02058275e+00
0,7,21,-4.04581232e+00
0,7,22,-4.07627787e+00
0,7,23,-4.10352129e+00
0,7,24,-4.11831442e+00
0,7,25,-4.12013572e+00
0,7,26,-4.11541244e+00
0,7,27,-4.10758190e+00
0,7,28,-4.10087899e+00
0,7,29,-4.10482792e+00
0,7,30,-4.12819414e+00
0,7,31,-4.16595063e+00
0,7,32,-4.19873286e+00
0,7,33,-4.21251610e+00
0,7,34,-4.21028012e+00
0,7,35,-4.19940383e+00
0,7,36,-4.18695456e+00
0,7,37,-4.17803735e+00
0,7,38,-4.16804968e+00
0,7,39,-4.15515486e+00
0,7,40,-4.14320096e+00
0,7,41,-4.13781058e+00
0,7,42,-4.13963458e+00
0,7,43,-4.15505786e+00
0,7,44,-4.19107568e+00
0,7,45,-4.25087679e+00
0,7,46,-4.33960370e+00
0,7,47,-4.46330343e+00
0,7,48,-4.63991291e+00
0,7,49,-4.92786694e+00
0,7,50,-5.59060494e+00
0,7,51,nan
0,7,52,nan
0,7,53,nan
0,7,54,nan
0,7,55,nan
0,7,56,nan
0,7,57,nan
0,7,58,nan
0,7,59,nan
0,7,60,nan
0,7,61,nan
0,7,62,nan
0,7,63,nan
0,7,64,nan
0,7,65,nan
0,7,66,nan
0,7,67,nan
0,7,68,nan
0,7,69,nan
0,7,70,nan
0,7,71,nan
0,7,72,nan
0,7,73,nan
0,7,74,nan
0,7,75,nan
0,7,76,nan
0,7,77,nan
0,7,78,nan
0,7,79,nan
0,7,80,nan
0,7,81,nan
0,7,82,nan
0,7,83,nan
0,7,84,nan
0,7,85,nan
0,7,86,nan
0,7,87,nan
0,7,88,nan
0,7,89,nan
0,7,90,nan
0,7,91,nan
0,7,92,nan
0,7,93,nan
0,7,94,nan
0,7,95,nan
0,7,96,nan
0,7,97,nan
0,7,98,nan
0,7,99,nan
0,8,0,-5.21424188e+00
0,8,1,-4.47486326e+00
0,8,2,-4.23873005e+00
0,8,3,-4.11513452e+00
0,8,4,-4.04745444e+00
0,8,5,-4.01484568e+00
0,8,6,-4.00610293e+00
0,8,7,-4.00862440e+00
0,8,8,-4.01608675e+00
0,8,9,-4.02172951e+00
0,8,10,-4.02285464e+00
0,8,11,-4.01736977e+00
0,8,12,-4.00339273e+00
0,8,13,-3.98526149e+00
0,8,14,-3.97023113e+00
0,8,15,-3.96155881e+00
0,8,16,-3.95984777e+00
0,8,17,-3.96314839e+00
0,8,18,-3.97406162e+00
0,8,19,-3.99300210e+00
0,8,20,-4.01664306e+00
0,8,21,-4.04308031e+00
0,8,22,-4.07170323e+00
0,8,23,-4.09961070e+00
0,8,24,-4.11686063e+00
0,8,25,-4.11986783e+00
0,8,26,-4.11484176e+00
0,8,27,-4.10732592e+00
0,8,28,-4.10172096e+00
0,8,29,-4.10774746e+00
0,8,30,-4.13115438e+00
0,8,31,-4.16353549e+00
0,8,32,-4.18795893e+00
0,8,33,-4.19653442e+00
0,8,34,-4.19509449e+00
0,8,35,-4.18976184e+00
0,8,36,-4.18443572e+00
0,8,37,-4.18065865e+00
0,8,38,-4.17092911e+00
0,8,39,-4.15395616e+00
0,8,40,-4.14035491e+00
0,8,41,-4.13405011e+00
0,8,42,-4.13698887e+00
0,8,43,-4.15677451e+00
0,8,44,-4.20029784e+00
0,8,45,-4.27089984e+00
0,8,46,-4.36680871e+00
0,8,47,-4.49222038e+00
0,8,48,-4.66559119e+00
0,8,49,-4.95143376e+00
0,8,50,-5.60566157e+00
0,8,51,nan
0,8,52,nan
0,8,53,nan
0,8,54,nan
0,8,55,nan
0,8,56,nan
0,8,57,nan
0,8,58,nan
0,8,59,nan
0,8,60,nan
0,8,61,nan
0,8,62,nan
0,8,63,nan
0,8,64,nan
0,8,65,nan
0,8,66,nan
0,8,67,nan
0,8,68,nan
0,8,69,nan
0,8,70,nan
0,8,71,nan
0,8,72,nan
0,8,73,nan
0,8,74,nan
0,8,75,nan
0,8,76,nan
0,8,77,nan
0,8,78,nan
0,8,79,nan
0,8,80,nan
0,8,81,nan
0,8,82,nan
0,8,83,nan
0,8,84,nan
0,8,85,nan
0,8,86,nan
0,8,87,nan
0,8,88,nan
0,8,89,nan
0,8,90,nan
0,8,91,nan
0,8,92,nan
0,8,93,nan
0,8,94,nan
0,8,95,nan
0,8,96,nan
0,8,97,nan
0,8,98,nan
0,8,99,nan
0,9,0,-5.33727682e+00
0,9,1,-4.48704759e+00
0,9,2,-4.24045943e+00
0,9,3,-4.11373640e+00
0,9,4,-4.04500178e+00
0,9,5,-4.01204478e+00
0,9,6,-4.00242323e+00
0,9,7,-4.00354613e+00
0,9,8,-4.01019715e+00
0,9,9,-4.01808784e+00
0,9,10,-4.02180600e+00
0,9,11,-4.01879743e+00
0,9,12,-4.00675791e+00
0,9,13,-3.98577976e+00
0,9,14,-3.96494432e+00
0,9,15,-3.95186804e+00
0,9,16,-3.94811212e+00
0,9,17,-3.95095800e+00
0,9,18,-3.96273526e+00
0,9,19,-3.98450757e+00
0,9,20,-4.01164139e+00
0,9,21,-4.03988212e+00
0,9,22,-4.06836320e+00
0,9,23,-4.09542256e+00
0,9,24,-4.11353778e+00
0,9,25,-4.11714272e+00
0,9,26,-4.11066901e+00
0,9,27,-4.10248985e+00
0,9,28,-4.09896348e+00
0,9,29,-4.10926934e+00
0,9,30,-4.13468300e+00
0,9,31,-4.16212561e+00
0,9,32,-4.17795938e+00
0,9,33,-4.18158386e+00
0,9,34,-4.18143944e+00
0,9,35,-4.18139672e+00
0,9,36,-4.18164195e+00
0,9,37,-4.18071245e+00
0,9,38,-4.17092163e+00
0,9,39,-4.15127203e+00
0,9,40,-4.13581575e+00
0,9,41,-4.12953941e+00
0,9,42,-4.13564946e+00
0,9,43,-4.16149768e+00
0,9,44,-4.21373346e+00
0,9,45,-4.29373461e+00
0,9,46,-4.39824161e+00
0,9,47,-4.52746264e+00
0,9,48,-4.69871451e+00
0,9,49,-4.97783291e+00
0,9,50,-5.62408081e+00
0,9,51,nan
0,9,52,nan
0,9,53,nan
0,9,54,nan
0,9,55,nan
0,9,56,nan
0,9,57,nan
0,9,58,nan
0,9,59,nan
0,9,60,nan
0,9,61,nan
0,9,62,nan
0,9,63,nan
0,9,64,nan
0,9,65,nan
0,9,66,nan
0,9,67,nan
0,9,68,nan
0,9,69,nan
0,9,70,nan
0,9,71,nan
0,9,72,nan
0,9,73,nan
0,9,74,nan
0,9,75,nan
0,9,76,nan
0,9,77,nan
0,9,78,nan
0,9,79,nan
0,9,80,nan
0,9,81,nan
0,9,82,nan
0,9,83,nan
0,9,84,nan
