x,y,z,Fx
0,1,96,nan
0,1,97,5.89217833e+01
0,1,98,5.99330368e+01
0,1,99,5.82837083e+01
0,2,0,nan
0,2,1,nan
0,2,2,5.79949403e+01
0,2,3,6.28714287e+01
0,2,4,6.29995602e+01
0,2,5,6.19611965e+01
0,2,6,nan
0,2,7,nan
0,2,8,nan
0,2,9,nan
0,2,10,5.92419785e+01
0,2,11,5.89816137e+01
0,2,12,6.13131778e+01
0,2,13,5.65475790e+01
0,2,14,5.64938144e+01
0,2,15,5.93770929e+01
0,2,16,5.73846291e+01
0,2,17,5.91890331e+01
0,2,18,nan
0,2,19,nan
0,2,20,nan
0,2,21,nan
0,2,22,5.82274069e+01
0,2,23,nan
0,2,24,6.03131346e+01
0,2,25,nan
0,2,26,nan
0,2,27,5.64935267e+01
0,2,28,nan
0,2,29,6.34990993e+01
0,2,30,nan
0,2,31,nan
0,2,32,nan
0,2,33,nan
0,2,34,nan
0,2,35,6.00269460e+01
0,2,36,6.20328393e+01
0,2,37,nan
0,2,38,5.99912533e+01
0,2,39,nan
0,2,40,5.54910979e+01
0,2,41,6.14079390e+01
0,2,42,5.71543147e+01
0,2,43,nan
0,2,44,6.45779073e+01
0,2,45,nan
0,2,46,nan
0,2,47,nan
0,2,48,nan
0,2,49,6.55235611e+01
0,2,50,6.32779164e+01
0,2,51,nan
0,2,52,nan
0,2,53,5.77725344e+01
0,2,54,5.75051147e+01
0,2,55,5.90862390e+01
0,2,56,nan
0,2,57,5.87643423e+01
0,2,58,5.92371466e+01
0,2,59,5.87753428e+01
0,2,60,nan
0,2,61,5.79567568e+01
0,2,62,5.74901693e+01
0,2,63,5.63789953e+01
0,2,64,6.41668654e+01
0,2,65,6.32003225e+01
0,2,66,6.30304944e+01
0,2,67,5.85608918e+01
0,2,68,nan
0,2,69,nan
0,2,70,nan
0,2,71,nan
0,2,72,5.64501881e+01
0,2,73,5.73653827e+01
0,2,74,nan
0,2,75,nan
0,2,76,nan
0,2,77,nan
0,2,78,nan
0,2,79,nan
0,2,80,nan
0,2,81,nan
0,2,82,5.92649647e+01
0,2,83,5.79957045e+01
0,2,84,6.24414079e+01
0,2,85,nan
0,2,86,nan
0,2,87,nan
0,2,88,nan
0,2,89,nan
0,2,90,nan
0,2,91,nan
0,2,92,6.15237679e+01
0,2,93,5.86986859e+01
0,2,94,nan
0,2,95,nan
0,2,96,5.86651008e+01
0,2,97,5.99085922e+01
0,2,98,nan
0,2,99,nan
0,3,0,nan
0,3,1,nan
0,3,2,nan
0,3,3,nan
0,3,4,5.67739348e+01
0,3,5,5.58356022e+01
0,3,6,nan
0,3,7,nan
0,3,8,nan
0,3,9,nan
0,3,10,nan
0,3,11,5.89850850e+01
0,3,12,5.83111728e+01
0,3,13,5.78234492e+01
0,3,14,5.95024135e+01
0,3,15,5.57473094e+01
0,3,16,5.87340749e+01
0,3,17,5.73197891e+01
0,3,18,nan
0,3,19,nan
0,3,20,nan
0,3,21,nan
0,3,22,5.88268562e+01
0,3,23,nan
0,3,24,nan
0,3,25,nan
0,3,26,nan
0,3,27,5.56495784e+01
0,3,28,6.42060196e+01
0,3,29,6.52465418e+01
0,3,30,6.17958383e+01
0,3,31,nan
0,3,32,nan
0,3,33,nan
0,3,34,nan
0,3,35,nan
0,3,36,nan
0,3,37,5.93778025e+01
0,3,38,nan
0,3,39,5.55588641e+01
0,3,40,nan
0,3,41,nan
0,3,42,6.08889077e+01
0,3,43,6.41422642e+01
0,3,44,nan
0,3,45,nan
0,3,46,nan
0,3,47,nan
0,3,48,nan
0,3,49,6.25441963e+01
0,3,50,5.73793044e+01
0,3,51,nan
0,3,52,5.61537447e+01
0,3,53,nan
0,3,54,nan
0,3,55,nan
0,3,56,5.65470904e+01
0,3,57,nan
0,3,58,5.96561650e+01
0,3,59,nan
0,3,60,5.83542729e+01
0,3,61,5.30844095e+01
0,3,62,5.78243685e+01
0,3,63,6.01770192e+01
0,3,64,5.94385567e+01
0,3,65,6.31646778e+01
0,3,66,5.86983326e+01
0,3,67,6.01244360e+01
0,3,68,nan
0,3,69,5.85276238e+01
0,3,70,nan
0,3,71,nan
0,3,72,5.53894776e+01
0,3,73,5.95223923e+01
0,3,74,5.31863797e+01
0,3,75,nan
0,3,76,5.65553127e+01
0,3,77,nan
0,3,78,nan
0,3,79,nan
0,3,80,nan
0,3,81,5.76940796e+01
0,3,82,5.73669598e+01
0,3,83,6.37386211e+01
0,3,84,6.27412658e+01
0,3,85,6.37100947e+01
0,3,86,nan
0,3,87,5.61059381e+01
0,3,88,6.02938195e+01
0,3,89,6.15956047e+01
0,3,90,nan
0,3,91,5.73754205e+01
0,3,92,6.21601069e+01
0,3,93,5.73639248e+01
0,3,94,nan
0,3,95,5.68134531e+01
0,3,96,5.37786373e+01
0,3,97,5.77160049e+01
0,3,98,6.26231027e+01
0,3,99,nan
0,4,0,nan
0,4,1,nan
0,4,2,nan
0,4,3,nan
0,4,4,5.64305917e+01
0,4,5,5.70825920e+01
0,4,6,5.74151160e+01
0,4,7,nan
0,4,8,nan
0,4,9,nan
0,4,10,nan
0,4,11,nan
0,4,12,nan
0,4,13,5.94041015e+01
0,4,14,5.60254092e+01
0,4,15,nan
0,4,16,nan
0,4,17,nan
0,4,18,nan
0,4,19,nan
0,4,20,nan
0,4,21,5.79916363e+01
0,4,22,nan
0,4,23,nan
0,4,24,nan
0,4,25,5.68452976e+01
0,4,26,5.94612362e+01
0,4,27,nan
0,4,28,nan
0,4,29,6.42429821e+01
0,4,30,nan
0,4,31,nan
0,4,32,5.80885536e+01
0,4,33,nan
0,4,34,nan
0,4,35,6.38485667e+01
0,4,36,6.27916918e+01
0,4,37,6.26402260e+01
0,4,38,6.15231782e+01
0,4,39,nan
0,4,40,5.41814290e+01
0,4,41,nan
0,4,42,6.42988717e+01
0,4,43,6.51318472e+01
0,4,44,6.20833384e+01
0,4,45,nan
0,4,46,nan
0,4,47,nan
0,4,48,nan
0,4,49,5.95720928e+01
0,4,50,5.95020111e+01
0,4,51,5.98893674e+01
0,4,52,nan
0,4,53,nan
0,4,54,nan
0,4,55,nan
0,4,56,6.39955421e+01
0,4,57,5.61651784e+01
0,4,58,nan
0,4,59,5.90947702e+01
0,4,60,nan
0,4,61,nan
